来源：hk.jobsdb.com,生成时间：2026-06-13 08:07:20,申请总数：0,记录总数：123
序号,公司,职位,状态,来源,薪资,记录时间
1,ESD Services Limited (ESDlife),Senior AI Solution Engineer,skipped_reject,Recommended,,2026-06-13 07:19:29
2,QFPay Haojin Fintech Limited,Full Stack Developer - Payment and Fintech,skipped_reject,Recommended,,2026-06-13 07:19:49
3,Hong Kong Productivity Council,"Consultant (LLM & AI for Science), Governance Efficacy & AI Solutions",skipped_reject,Recommended,,2026-06-13 07:20:04
4,ESD Services Limited (ESDlife),AI Engineer,skipped_reject,Recommended,,2026-06-13 07:20:21
5,Time Rise Engineering Ltd,Software Developer / Programmer,skipped_reject,Recommended,,2026-06-13 07:20:34
6,"Centre for Artificial Intelligence and Robotics, HKISI, CAS",AI Agent Development Engineer,skipped_reject,Recommended,,2026-06-13 07:33:31
7,Captar Partners Limited,AI Business Analyst - Insurance( 1-Year Contract),skipped_reject,Recommended,,2026-06-13 07:33:47
8,Morgan Mckinley Limited,"AI Agent Engineer (Perm, up to 60k)",skipped_reject,Recommended,,2026-06-13 07:34:44
9,Lively Impact Technology Limited,Software Developer / Senior Software Developer,skipped_reject,Recommended,,2026-06-13 07:36:02
10,The Trader Funds Limited,AI Builder/ AI Agent Associate (5-Days Work & Bonus),skipped_reject,Recommended,,2026-06-13 07:36:52
11,ESD Services Limited (ESDlife),AI Lead,skipped_reject,Recommended,,2026-06-13 07:37:08
12,Robert Half Hong Kong Limited,Full-stack Developer (Node.js + React),skipped_reject,Recommended,,2026-06-13 07:37:21
13,Vitasoy International Holdings Ltd,AI & Data Analytics Intern,skipped_reject,Recommended,,2026-06-13 07:37:35
14,Modern Space Asia Limited,"AI Engineer (On-site, Hong Kong Office)",skipped_reject,Recommended,,2026-06-13 07:37:50
15,Hong Kong Quantum AI Lab Limited,Software Development Engineer,skipped_reject,Recommended,,2026-06-13 07:38:03
16,Set Sail Venture Limited,Project Manager (Agentic AI),skipped_reject,Recommended,,2026-06-13 07:38:14
17,CITIC Telecom International Holdings Limited,Application Developer / Senior Application Developer (AI Agent Development),skipped_reject,Recommended,,2026-06-13 07:38:28
18,Hong Kong Convention and Exhibition Centre (Management) Limited,Assistant Analyst Programmer / Analyst Programmer,skipped_reject,Recommended,,2026-06-13 07:38:44
19,Deloitte Touche Tohmatsu,Manager (Team Lead) - Deloitte AI Institute - Hong Kong,skipped_reject,Recommended,,2026-06-13 07:38:59
20,Amidas Hong Kong Limited,Assistant System Engineer (Fresh graduate welcome),skipped_reject,Recommended,,2026-06-13 07:39:13
21,Logistics and Supply Chain MultiTech R&D Centre Limited,AI Researcher,skipped_reject,Recommended,,2026-06-13 07:39:28
22,Lenovo PCCW Solutions,Analyst Programmer,skipped_reject,Recommended,,2026-06-13 07:39:47
23,K11 by AC Limited,AI Technical Lead,skipped_reject,Recommended,,2026-06-13 07:40:08
24,Winley Technology Limited,Senior Software Engineer/ Software Engineer (Full Stack),skipped_reject,Recommended,,2026-06-13 07:40:28
25,Kenfil Hong Kong Ltd,Cloud & AI Solutions Sales Representative,skipped_reject,Recommended,,2026-06-13 07:40:46
26,EVI Services Limited,Software Engineer (Vibe Coding),skipped_reject,Recommended,,2026-06-13 07:41:00
27,PERSOL Hong Kong Limited,AI Project Manager,skipped_reject,Recommended,,2026-06-13 07:41:13
28,Chimbusco Pan Nation Shipping Company Limited,Software Engineer (Digital Transformation),skipped_reject,Recommended,,2026-06-13 07:41:26
29,WorldMart International Limited,Deputy General Manager (E-Commerce & Operations),skipped_reject,Recommended,,2026-06-13 07:41:41
30,Eventmaster Limited,Back-end Developer / Engineer / Programmer,skipped_reject,Recommended,,2026-06-13 07:41:58
31,The Hong Kong Polytechnic University,Engineer,skipped_reject,Recommended,,2026-06-13 07:42:14
32,Harvey Nichols,IT Support  (fresh graduate is welcome to apply),skipped_reject,Recommended,,2026-06-13 07:42:30
33,Hays Hong Kong Limited,Technology Project Manager (Insurance Platform),skipped_reject,Recommended,,2026-06-13 07:42:43
34,ANKH 機能再生 痛症健康集團,Analyst Programmer / (Senior) Analyst Programmer,skipped_reject,Recommended,,2026-06-13 07:43:01
35,Innovation Technology Co Ltd,Software Engineer,skipped_reject,Recommended,,2026-06-13 07:43:17
36,Fujitsu Hong Kong Limited,1.5 Years Graduate Talent Program,skipped_reject,Recommended,,2026-06-13 07:43:33
37,Manpower Services (Hong Kong) Limited,Founding Full-Stack Engineer (AI Agent),skipped_reject,Recommended,,2026-06-13 07:43:49
38,CrossXection Limited,Application Developer - (Frontend / Backend / Full-stack),skipped_reject,Recommended,,2026-06-13 07:44:02
39,Autotoll Limited,QA Engineer,skipped_reject,Recommended,,2026-06-13 07:44:14
40,RD Holdings (Hong Kong) Limited,STEM Internship- AI & Fintech,skipped_reject,Recommended,,2026-06-13 07:44:28
41,Gekko Artificial Intelligence Limited,Business Analyst (Recent Graduate Welcome),skipped_reject,Recommended,,2026-06-13 07:44:59
42,SGS Hong Kong Limited,Analyst Programmer,skipped_reject,Recommended,,2026-06-13 07:45:23
43,Wheelock Properties (Hong Kong) Limited 會德豐地產 (香港) 有限公司,Innovation & Solution Manager,skipped_reject,Recommended,,2026-06-13 07:45:36
44,Noble Apex Wealth Limited,Programmer,skipped_reject,Recommended,,2026-06-13 07:45:51
45,Swing Consulting Limited,"Full-Stack Developer (AI / Cloud, Bank / Finance)",skipped_reject,Recommended,,2026-06-13 07:46:09
46,Oxford University Press (China) Ltd,Senior Digital Product Specialist,skipped_reject,Recommended,,2026-06-13 07:46:22
47,Nexify Limited,Programmer / Developer (Welcome Fresh Graduates),skipped_reject,Recommended,,2026-06-13 07:46:40
48,Neural Technologies (Hong Kong) Limited,System Support Engineer,skipped_reject,Recommended,,2026-06-13 07:46:56
49,Edvance International Holdings Limited,Programmer,skipped_reject,Recommended,,2026-06-13 07:47:09
50,Vita Green Health Products Company Limited,[ To Be Defined By You - IT Talents ],skipped_reject,Recommended,,2026-06-13 07:47:20
51,Hong Kong Genome Institute,Analyst Programmer (Data Management),skipped_reject,Recommended,,2026-06-13 07:47:36
52,Deloitte Touche Tohmatsu,Body-shopped Architect - WCWP - Hong Kong,skipped_reject,Recommended,,2026-06-13 07:47:51
53,HKBN JOS Limited (HKBNJOS),AI Engineer,skipped_reject,Recommended,,2026-06-13 07:48:08
54,Medifast (Hong Kong) Limited,IT Manager/ Senior IT Manager,skipped_reject,Recommended,,2026-06-13 07:48:22
55,MTR Lab Company Limited,Senior Developer,skipped_reject,Recommended,,2026-06-13 07:48:39
56,Luen Thai International Group Ltd,AI & IT Support Analyst,skipped_reject,Recommended,,2026-06-13 07:48:57
57,Man Hing Hong Properties Company Limited,Data Visualization Developer (Power BI),skipped_reject,Recommended,,2026-06-13 07:49:10
58,Protiviti Hong Kong Co. Limited,Test Lead/ Manager - Broadridge,skipped_reject,Recommended,,2026-06-13 07:49:33
59,The University of Hong Kong,Senior AI Developer (at the rank of IT Officer) for AI Applications Team,skipped_reject,Recommended,,2026-06-13 07:49:48
60,Hong Kong University of Science and Technology R and D Corporation Limited,Assistant Officer (RAISe+ Project Management) Jobsdb 20260612,skipped_reject,Recommended,,2026-06-13 07:50:10
61,Eternal Optical & Perfumery (Far East) Limited,Web & Digital Experience Developer,skipped_reject,Recommended,,2026-06-13 07:50:25
62,Premier Technology Global Limited,Senior Helpdesk Engineer,skipped_reject,Recommended,,2026-06-13 07:50:44
63,Reticle Search International Limited,Booking and Operation Assistant,skipped_reject,Recommended,,2026-06-13 07:51:01
64,CL Technical Services Ltd.,"Training Officer / AI Specialist (Shatin, 2 vacancies)",skipped_reject,Recommended,,2026-06-13 07:51:18
65,HKT,Analyst Programmer (Automation),skipped_reject,Recommended,,2026-06-13 07:51:37
66,Cartrack Asia,"Technical and Operation Team  Leader (IT. IoT, Telemetic)",skipped_reject,Recommended,,2026-06-13 07:51:52
67,FUJIFILM BI,Programmer,skipped_reject,Recommended,,2026-06-13 07:52:07
68,Excel Technology International (Hong Kong) Limited,Systems Analyst / Analyst Programmer - Banking Applications,skipped_reject,Recommended,,2026-06-13 07:52:27
69,Hutchison Ports Limited,Analyst Programmer,skipped_reject,Recommended,,2026-06-13 07:52:39
70,Haven of Hope Christian Service,Business Development Officer (Ref: RSD/BDO/JDB),skipped_reject,Recommended,,2026-06-13 07:52:55
71,Kanhan Technologies Ltd,Project Manager / Executive,skipped_reject,Recommended,,2026-06-13 07:53:13
72,ServiceOne Limited,Digital Workspace Specialist,skipped_reject,Recommended,,2026-06-13 07:53:32
73,St. Teresa's Hospital,Analyst Programmer,skipped_reject,Recommended,,2026-06-13 07:53:48
74,Guotai Junan International Holdings Limited,Java Developer,skipped_reject,Recommended,,2026-06-13 07:54:03
75,Gemini Personnel Limited,"General Manager - Chemical Industry (Shanghai based, upto HK$ 2M)",skipped_reject,Recommended,,2026-06-13 07:55:00
76,Elee Consulting Limited,Contract Software Developer (Kowloon Bay / MTR),skipped_reject,Recommended,,2026-06-13 07:55:17
77,EY,Technology Consulting - AI & Data - Master Data Management Lead - Hong Kong,skipped_reject,Recommended,,2026-06-13 07:55:36
78,淼淼動力 Dai Meow,Assistant IT Engineer - Stack Development & Support,skipped_reject,Recommended,,2026-06-13 07:55:50
79,Bank of China (Hong Kong) Limited,(Deputy/Assistant) Business Technology Manager,skipped_reject,Recommended,,2026-06-13 07:56:03
80,ICO Limited,Programmer (Fresh Graduates are welcome!),skipped_reject,Recommended,,2026-06-13 07:56:23
81,Same Page Recruitment Co,Programmer Junior (5 days work),skipped_reject,Recommended,,2026-06-13 07:56:36
82,Recur Limited,Technical Consultant,skipped_reject,Recommended,,2026-06-13 07:56:52
83,Shanghai Commercial Bank Ltd,"Assistant Vice President / Vice President, Project Management Office",skipped_reject,Recommended,,2026-06-13 07:57:08
84,Recruit Logic Limited,"Embedded Software Engineer, Android (Leading gaming company, Up to $80k)",skipped_reject,Recommended,,2026-06-13 07:57:24
85,FundPark Limited,Senior Software Engineer / System Architect (Python/Django),skipped_reject,Recommended,,2026-06-13 07:57:38
86,Roborn Technology Limited,Senior / Software Engineer / Software Engineer (AI and Video Analytics),skipped_reject,Recommended,,2026-06-13 07:57:53
87,YONYOU (HONGKONG) COMPANY LIMITED,Consultant - HCM,skipped_reject,Recommended,,2026-06-13 07:58:07
88,"Huawei International Co., Ltd",Assistant ICT Solution Engineer (Welcome Fresh Graduates!),skipped_reject,Recommended,,2026-06-13 07:58:21
89,ACW Distribution (HK) Ltd,Business Development Manager (IT Security & Storage),skipped_reject,Recommended,,2026-06-13 07:58:34
90,HKT,Analyst Programmer,skipped_reject,Recommended,,2026-06-13 07:58:47
91,Chow Sang Sang Holdings International Limited,Senior Business Analyst,skipped_reject,Recommended,,2026-06-13 07:59:03
92,Canon Hongkong Company Limited,(Part-time/兼職) 文件處理助理 Scanning Operator,skipped_reject,Recommended,,2026-06-13 07:59:22
93,ViuTV,Software Engineer,skipped_reject,Recommended,,2026-06-13 07:59:37
94,EDPS Systems Limited,Data Engineer,skipped_reject,Recommended,,2026-06-13 07:59:52
95,Vanke Holdings (Hong Kong) Company Limited,Analyst Programmer,skipped_reject,Recommended,,2026-06-13 08:00:05
96,AMG FINANCIAL GROUP,IT Assistant Manager – Corporate Infrastructure & Service Management,skipped_reject,Recommended,,2026-06-13 08:00:19
97,Seiko Hong Kong Limited,System Analyst,skipped_reject,Recommended,,2026-06-13 08:00:33
98,Sportshouse Limited,System Engineer / System Administrator,skipped_reject,Recommended,,2026-06-13 08:00:50
99,Hong Kong Life Insurance Limited,Analyst Programmer / Programmer,skipped_reject,Recommended,,2026-06-13 08:01:06
100,Pacific Prime Insurance Brokers Ltd,AI Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 08:01:33
101,Quam Plus International Financial Limited,AI Technical Leads / AI Officers,skipped_reject,SavedSearch:ai,,2026-06-13 08:01:47
102,I-Medi Asia Limited,System Analyst (AI Team),skipped_reject,SavedSearch:ai,,2026-06-13 08:02:03
103,EPC Solutions (Hong Kong) Limited,AI Engineer / AI Architect (AI 工程師／AI 架構師),skipped_reject,SavedSearch:ai,,2026-06-13 08:02:18
104,Hong Kong Applied Science and Technology Research Institute Company Limited,"Chief Director, AI Platform & Solutions",skipped_applied,SavedSearch:ai,,2026-06-13 08:02:19
105,"CLPS Technology (Hong Kong) Co., Limited",AI Engineer(banking projects),skipped_reject,SavedSearch:ai,,2026-06-13 08:02:33
106,Macleans Consulting International Limited,Senior Manager - Information Technology (AI solutions),skipped_reject,SavedSearch:ai,,2026-06-13 08:02:47
107,EY,CBS – Risk Management - Project Manager (AI and Technology) - Manager,skipped_reject,SavedSearch:ai,,2026-06-13 08:03:08
108,CL Technical Services Ltd.,"Data Architect / Application Developer (AI/Python, over $60K)",skipped_reject,SavedSearch:ai,,2026-06-13 08:03:24
109,CITIC Telecom International Holdings Limited,Senior AI Engineer (Mobile Service Development),skipped_reject,SavedSearch:ai,,2026-06-13 08:03:42
110,Automated Systems (HK) Ltd,AI Engineer Lead / AI Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 08:03:58
111,"TCL Corporate Research (Hong Kong) Co., Limited",LLM Engineer (Data and Optimization),skipped_reject,SavedSearch:ai,,2026-06-13 08:04:20
112,Robert Walters (HK) Ltd,"AI Engineer (POC Development, Insurance) - 75k",skipped_reject,SavedSearch:ai,,2026-06-13 08:04:34
113,PINSEN TECHNOLOGY LIMITED,AI Quantitative Trading Researcher （人工智能量化交易研究员）,skipped_reject,SavedSearch:ai,,2026-06-13 08:04:50
114,Golden Well Property Investment Limited,AI架构师,skipped_reject,SavedSearch:ai,,2026-06-13 08:05:05
115,Robert Walters (HK) Ltd,Agentic AI Application Developer,skipped_reject,SavedSearch:ai,,2026-06-13 08:05:19
116,Bank of China (Hong Kong) Limited,(Senior) Application Development Manager (Data Platform Management),skipped_reject,SavedSearch:ai,,2026-06-13 08:05:36
117,JustOneGalaxy Recruitment Limited,GenAI Specialist/ AI Developer/ AI Engineer/ AI Data Scientist (Bank),skipped_reject,SavedSearch:ai,,2026-06-13 08:05:51
118,Asia Allied Infrastructure Holdings Limited,Senior AI Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 08:06:06
119,Gleneagles Hospital Hong Kong,Analyst Programmer (AI Focus),skipped_reject,SavedSearch:ai,,2026-06-13 08:06:20
120,Morgan Mckinley Limited,"AI Solution Lead (Group Level, APAC)",skipped_reject,SavedSearch:ai,,2026-06-13 08:06:34
121,APJ Software (Hong Kong) Company Limited,AI Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 08:06:48
122,Bank of China (Hong Kong) Limited,Senior / Data Analyst (Data Scientist),skipped_reject,SavedSearch:ai,,2026-06-13 08:07:04
123,Senior Citizen Home Safety Association,AI Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 08:07:18
