任务：远程软件,生成时间：2026-06-18 20:16:40,本次投递数：17,统计区间：2026-06-18 18:59:36 起
序号,公司,职位,城市/来源,投递时间
1,北京拾贰囍小馆餐饮,Java架构师（外企远程办公）,上海,2026-06-18 19:06:02
2,深圳一同咨询管理,Rust Engineer（远程）,上海,2026-06-18 19:08:38
3,北京某大型互联网公司,AI SaaS软件全栈工程师（可远程）,上海,2026-06-18 19:12:47
4,上海某大型智能硬件头部公司,Golang开发（远程）,上海,2026-06-18 19:15:02
5,上海默锐企业管理...,前端实习生(Web3远程办公),上海,2026-06-18 19:17:17
6,得逸信息,前端开发工程师（远程面试）,上海,2026-06-18 19:19:54
7,上海某大型互联网公司,【Web3远程】后端开发rust/go/C++/java,上海,2026-06-18 19:22:04
8,寰宇创盈,VCC卡台技术负责人（期权/可远程）,上海,2026-06-18 19:26:41
9,某大型计算机服务公司,架构师（远程）,上海,2026-06-18 19:29:27
10,上海加运未来科技服务,后端开发实习生985/211｜远程｜硅谷项目,上海,2026-06-18 19:32:11
11,北京某大型计算机软件上市公司,Data Platform Engineer​：远程办公，1年,上海,2026-06-18 19:37:08
12,前玮科技,软件工程师 桌面（远程）,上海,2026-06-18 19:40:45
13,某电子商务公司,资深服务端开发——P7P8上市外企远程办公,上海,2026-06-18 19:45:56
14,某中型证券/期货公司,前端UX工程师（远程）,上海,2026-06-18 19:48:43
15,某中型计算机服务公司,AI全栈工程师（外企、纯英、全球远程）,上海,2026-06-18 19:51:02
16,木易兴科技发展,爬虫工程师（AI与自动化方向，远程办公）,上海,2026-06-18 20:00:01
17,某人工智能公司,后端开发-AlAgent 应用方向(可远程办公),上海,2026-06-18 20:03:21
